id,title,group,Afiliación,General,Particular
1,Héctor Murrieta Sánchez,Estado Sólido,ES,optica ,microscopia electronica
2,Marcelo del Castillo Mussot,Estado Sólido,ES,,
3,Jorge Alejandro Reyes Esqueda,Estado Sólido,ES,,
4,Adolfo Cordero Borboa,Estado Sólido,ES,,
5,Jorge Montemayor Aldrete,Estado Sólido,ES,termodinamica reversible general,teoria de envejecimiento
6,Carlos Javier Villagómez Ojeda,Estado Sólido,ES,,
7,Jose Manuel Hernández,Estado Sólido,ES,,
8,Gerardo Jorge Vázquez Fonseca,Estado Sólido,ES,fisica de nanoparticulas superficies y conglomerados moleculares,
9,César Leonardo Ordoñez Romero,Estado Sólido,ES,,
10,Guillermo Monsiváis Galindo,Estado Sólido,ES,,
11,Jaques André Soullard Saintrais,Estado Sólido,ES,,
12,Luis Fernando Magaña Solís,Estado Sólido,ES,fisica de nanoparticulas superficies y conglomerados moleculares,
13,Enrique Camarillo García,Estado Sólido,ES,,
14,Jorge García Macedo,Estado Sólido,ES,,
15,María Cristina Flores,Estado Sólido,ES,,
16,Dwight Acosta Najarro,IF,MC,optica,microscopia electronica
17,Elsi Mejía Uriarte,UNAM,ICAT,optica,microscopia electronica
18,Ciro Falcony Guajardo,EXTERNO,Cinvestav,optica,microscopia electronica
19,Epifanio Cruz Zaragoza,UNAM,ICN,optica e irradiaciones,
20,Francisco Ramos Brito,EXTERNO,UAS,optica,
21,Manuel García Hipólito,UNAM,IIM,optica y rayos x,fabricacion de materiales
22,Raúl Herrera Becerra,IF,MC,"espectrocopia raman, escaleras de stark y ondas de bloch en silicio poroso",
23,Arturo Rodríguez Gómez,IF,MC,peliculas delgadas,
24,Ulises Caldiño,EXTERNO,UAM-IZ,propiedades opticas,
25,Bartolomé Luque,FOR,UPM-España,sistemas complejos,econofísica
26,Alfredo de la Lama,EXTERNO,UAM-IZ,"sociología general, energeticos y sociofisica",metodología y concenso de la investigación científica
27,Lev Guzmán,EXTERNO,IPN,redes complejas,migración y remesas globales
28,Gabriela Díaz,IF,FQ,plasmónica y nanofotónica,óptica no lineal
29,Jesús Arenas,IF,MC,plasmónica y nanofotónica,óptica no lineal
30,Citlali Sánchez,UNAM,ICAT,plasmónica y nanofotónica,óptica no lineal
31,Rocío Nava,FOR,IER,plasmónica y nanofotónica,óptica no lineal
32,Beatriz de la Maza,UNAM,ICAT,plasmónica y nanofotónica,óptica no lineal
33,Raúl Rangel,EXTERNO,CICESE,plasmónica y nanofotónica,óptica no lineal
34,Enrique Bigeras,EXTERNO,UAEM,plasmónica y nanofotónica,óptica no lineal
35,Rurik Farías,EXTERNO,UACJ,plasmónica y nanofotónica,óptica no lineal
36,Emma García ,EXTERNO,BUAP,plasmónica y nanofotónica,óptica no lineal
37,Tiziana Cesca,FOR,UPadua-Italia,plasmónica y nanofotónica,óptica no lineal
38,PF Brevet,FOR,ULyon-Francia,plasmónica y nanofotónica,óptica no lineal
39,Héctor Riveros,IF,MC,cristalografia y crecimiento de cristales,crecimiento de cristales mixtos de halogenuros alcalinos
40,Luis Felipe Jiménez Garcías,UNAM,FC,efectos en cristales,microscopia optica de nodos cuadruples de uniones triples
41,Ricardo Rodríguez Mijangos,EXTERNO,CIFUS-UNISON,estructura y propiedades opticas de cristales,estructura y propiedades opticas de cristales mixtos de halogenuros alcalinos
42,Fidel Cruz Peregrino,EXTERNO,UAM-AZ,"termodinamica irreversible del envejecimiento, energeticos, sociofisica, cosmología",
43,Mariano Lopez de Haro,UNAM,IER,"termodinamica irreversible del envejecimiento, teoría general de termodinámica irreversible, física estadística fuera de equilibrio",
44,José Rubén Morones Ibarra,EXTERNO,FC-UANL,cosmologia general,
45,Alejandro Morales Mori,UNAM,ICF,"cosmologia, elasticidad",
46,Oliver Paz Borbón,IF,FQ,moleculas en superficies,geometría y estructura electrónica de moléculas (DFT)
47,Ignacio Garzón,IF,FT,moleculas en superficies,geometría y estructura electrónica de moléculas (DFT)
48,Xavier Boujou,FOR,CNR-Francia,microscopio de barrido y tunelaje de moleculas en superficies,"DFT, ESQC, UHV, LT"
49,Adrián Reyes Cervantes,IF,IF-MC,estado sólido,"cristales líquidos colestéricos, nanopartículas"
50,Carlos Mendoza Ruiz,UNAM,IIM,estado sólido,nanopartículas
51,Gregorio Hernández Cocoletzi,EXTERNO,UAP,estado sólido,nanopartículas
52,Nelson Ramos Montenegro,FOR,Ucali-Colombia,estado sólido,nanopartículas
53,Jorge Flores Valdés,IF,FT,,
54,Zorayda Lazcano Ortiz,EXTERNO,BUAP,ondas de espín,
55,José Antonio Otero Hernández,EXTERNO,ITESM,elasticidad,
56,Luis Gutiérrez,UNAM,IFC,elasticidad,
57,Alfredo Díaz de Anda,EXTERNO,BUAP,elasticidad,
58,Octavio Estévez,IF,MC,escaleras de stark y ondas de bloch en silicio poroso,
59,Rubén Santamaría Ortiz,IF,FT,burbuja de electrones en el helio superfluido,
60,Rubén Barrera,IF,FQ,burbuja de electrones en el helio superfluido,
61,Samuel Meraz,UNAM,FES-Iztacala,fisica de nanoparticulas superficies y conglomerados moleculares,
62,Juan Manuel Ramírez de Arellano,EXTERNO,ITESM-CDMX,fisica de nanoparticulas superficies y conglomerados moleculares,
63,Juan Salvador Arellano,EXTERNO,UAM-AZ,fisica de nanoparticulas superficies y conglomerados moleculares,
64,Johannes Barth,FOR,TUM-Munich-Alemania,microscopio de tunelaje de moleculas en superficies,
65,Edilberto Hernández Juárez,IF,MC,,
66,Eligio Orozco Mendoza,IF,MC,,
67,Samanta Pérez Arevalo,IF,MC,,
68,Lauro Bucio Galindo,IF,MC,,
69,Ilya Kaplan,EXTERNO,Ins. Inv. Materiales,,
70,Ronald Colombie Leyva,EXTERNO,Ins. Inv. Materiales,,
71,Victor Velasco Rodriguez,EXTERNO,ICM-Madrid-España,,
72,Luis Mariscal Becerra,EXTERNO,CIENVESTAV,,
73,Patricia Santiago,IF,MC,,
74,Bokhimi,IF,MC,,
75,Guillermo Espinoza,IF,MC,,
76,Guillermo Mondragón,EXTERNO,CIDESI,,
77,Victor Rentería ,EXTERNO,U. Guadalajara,,
78,Armando Ávila,EXTERNO,UT Fidel V,,
79,Pedro Ramírez,EXTERNO,UT Tulancingo,,
80,Gabriel Gutiérrez,EXTERNO,II Biomédicas,,
81,Jeffrey Zink,EXTERNO,UCLA,,
82,Massimo Guglielmi,EXTERNO,U. Padua,,
83,Yanet Villasana,EXTERNO,U. Reg Amazónica,,
84,Fernando Bimbela,EXTERNO,U.P. Navarra,,
85,Giulio Fanti,EXTERNO,U. Padua,,
86,Osvaldo Vigueras,EXTERNO,UV,,
87,David Ley Dominguez,Estado Sólido,,,
88,Oleg Kolokoltsev, UNAM, ICAT, dinámica de magnetización, ondas de spin
89,Pablo Borys, UNAM, ICAT, dinámica de magnetización, ondas de spin
90,Naser Qureshi, UNAM, ICAT, dinámica de magnetización, ondas de spin
91,Boris Kalinikos, EXTERNO, ETU-SP, dinámica de magnetización,dm lineal y no lineal
92,Kristen Buchanan, EXTERNO, CSU, dinámica de magnetización,dm lineal y no lineal
93,Grant Riley, EXTERNO, NIST, dinámica de magnetización,dm lineal y no lineal
94,Michael Urbanek, EXTERNO, CEITEC, dinámica de magnetización, cristales magnónicos
95,Jason Liu, EXTERNO, GSU, dinámica de magnetización,dm lineal y no lineal
97,Albert Fert, EXTERNO, Thales Group, dinámica de magnetización, cristales magnónicos

